WUR_Report_ID,fid,year,method,area_m2,annual_precip_eff_mm,annual_net_et_mm,pumping_mm,pumping_net_et_factor_annual
62841,1446_1448,2020,VLM,634264.4200204385,204.5982409435467,527.1918645604244,1276.2362580166732,2.4
63073,1101,2020,FMT,527843.5443312153,179.46207061692624,664.6879354244942,835.4162985145791,1.3
63211,1310,2020,FMT,496627.540133544,196.56869782494894,642.9796054360155,566.609319177774,0.9
63219,1312_1313,2020,FMT,303341.5811177322,197.02944547902425,560.7412156231826,678.5446520110061,1.2
63735,1360,2020,ECF,487480.6178936727,211.71426503755603,567.6387276892209,1214.551672963416,2.1
63743,1210_1211,2020,FMT,623286.885820329,184.6445529120137,650.1088942105454,737.7683607040557,1.1
63755,1556_1558,2020,FMT,659361.8917279228,199.6552086225968,233.0286631126812,472.11304066151763,2.0
63819,1483,2020,FMT,406944.8801565224,212.53365147110358,513.5270101777234,716.5155563275529,1.4
65207,1451,2020,PWR,514489.87225052726,205.5449083278905,540.7886176807899,848.9482331098548,1.6
65302,1605_1606,2020,FMT,293032.0695670853,187.88790211261897,457.24981863828015,832.6131141907111,1.8
65399,1508_1509,2020,FMT,1293758.6017626114,276.51414639106605,423.7023041202485,485.0845345839513,1.1
65456,1460,2020,FMT,533087.5597067176,203.73972769629688,383.38096113068013,525.2419699196212,1.4
65648,1557,2020,VLM,525051.6805308663,199.6552086225968,461.5178494630479,66.69533399949067,0.1
65733,1335,2020,ECF,506448.7431986319,198.974454815684,558.9415978768989,601.8238017039735,1.1
66119,1692,2020,PWR,476131.8182009672,182.4418761206828,608.3091790946344,588.9531690185001,1.0
66236,1439,2020,VLM,306897.0254731336,203.7397276962969,402.70787314516105,1847.2235341024127,4.6
66263,1452,2020,PWR,512318.832772656,205.781988102634,545.8757368702156,516.4149905795165,0.9
67431,1329,2020,FMT,394752.3713623936,215.31253415368886,585.9011199148202,798.9840185417236,1.4
10823,15,2021,VLM,241159.8164319988,193.0640168255807,696.3680480752365,395.57727573117364,0.6
37683,1551_1552,2021,ECF,482002.25404434174,168.1836372682465,490.5314378023216,729.3364233264767,1.5
37976,1087,2021,FMT,253510.1103784973,195.76421221312245,240.64267641600375,7.3957192366045685,0.0
47099,533_1102,2021,FMT,498272.54217158444,172.3303669789186,732.1069730227464,724.6073187706752,1.0
49257,1075_1431,2021,OTH,1040978.2738069422,212.67479573744583,574.4306291053529,827.1953504379253,1.4
60733,1422,2021,FMT,475512.896158595,212.54400080824468,600.002877385917,851.4023675710614,1.4
61755,1539_1549_1550,2021,FMT,1238995.5577194756,173.39115820467595,695.7085569051472,0.0,0.0
62470,999,2021,FMT,486539.6996350296,213.70122691021905,576.8114654764547,680.4501919336575,1.2
62560,1254,2021,NR,535213.185549038,213.0261784369541,670.8965713247669,0.0,0.0
62841,1446_1448,2021,VLM,634264.4200204385,213.4883971855571,490.5804318160479,1266.7848169287329,2.6
63073,1101,2021,FMT,527843.5443312153,173.69883861290666,637.0530523515466,691.0002782398908,1.1
63211,1310,2021,NR,496627.540133544,210.25761360192462,656.1642110795038,0.0,0.0
63219,1312_1313,2021,FMT,303341.5811177322,209.45806249577018,520.0379991615895,666.183078677792,1.3
63735,1360,2021,ECF,487480.6178936727,198.9465841947322,616.2880166176022,1222.9017157150397,2.0
63743,1210_1211,2021,FMT,623286.885820329,179.09669614622663,645.1815991192022,678.2006899497851,1.1
63755,1556_1558,2021,FMT,659361.8917279228,205.8899463534061,310.3859481372364,489.17398661719005,1.6
63819,1483,2021,FMT,406944.8801565224,220.57456194292047,486.41028998037456,738.2483561027911,1.5
65207,1451,2021,PWR,514489.87225052726,213.1306642334812,544.24506265918,1168.7962528195008,2.1
65302,1605_1606,2021,FMT,293032.0695670853,198.8501496921357,448.1068033084428,953.4219937522553,2.1
65399,1508_1509,2021,FMT,1293758.6017626114,210.64999219235514,445.1649022012625,11.440897845884187,0.0
65456,1460,2021,FMT,533087.5597067176,213.70122691021905,206.71400990407616,2.545225404896843,0.0
65648,1557,2021,VLM,525051.6805308663,205.88994635340606,451.30111394474665,100.68904597457451,0.2
65733,1335,2021,ECF,506448.7431986319,208.97588230919723,597.9222803040647,839.2896886571804,1.4
66119,1692,2021,FMT,476131.8182009672,206.46856101383543,575.1759403061914,517.3741417466555,0.9
66236,1439,2021,VLM,306897.0254731336,213.70122691021905,441.736965957418,1776.1641083345046,4.0
66263,1452,2021,PWR,512318.832772656,213.0261784369541,565.0147898684111,516.3909141661368,0.9
67431,1329,2021,FMT,394752.3713623936,218.1372638361456,578.9521677933894,864.8213015713445,1.5
10823,15,2022,VLM,241159.8164319988,221.98840390993712,615.7590251577495,463.0412564254351,0.8
37683,1551_1552,2022,ECF,482002.25404434174,207.55013480783484,592.486576236117,776.1674989295452,1.3
37976,1087,2022,FMT,253510.1103784973,245.8305480446797,315.718295117076,683.763437052658,2.2
47099,533_1102,2022,FMT,498272.54217158444,204.13054386113947,628.3398416272066,731.9348363258023,1.2
49257,1075_1431,2022,FMT,1040978.2738069422,210.856533634344,609.8754871610571,735.88511736996,1.2
60733,1422,2022,FMT,475512.896158595,210.68475665756395,567.902140688121,901.0255693614289,1.6
