dri_field_,area_m2,annual_et_mm,annual_precip_mm,annual_precip_eff_mm,YEAR,eff_factor
123,423030.4525584705,540.5574173369076,234.89999970793724,225.2436556815917,2021,0.9588916814033556
124,484372.6802594928,569.7405185487798,227.00000056624413,217.66841222152848,2021,0.9588916814033556
125,492514.3163490836,906.65412021954,259.551940993313,248.882197110582,2021,0.9588916814033556
126,498928.7687007737,918.9034977120314,229.0161784414002,219.6017084142472,2021,0.9588916814033556
127,460230.1209712059,614.0038400150772,227.00000056624413,217.66841222152848,2021,0.9588916814033556
128,528584.0098041092,966.4234958253672,215.0,206.16171150172144,2021,0.9588916814033556
129,514049.0021497713,850.8824084371191,215.49618983421783,206.6375038061462,2021,0.9588916814033556
130,497485.14607926254,825.3241383071551,227.19999888539317,217.86018894605516,2021,0.9588916814033556
131,534286.7262404527,908.7150684514136,228.9447910896248,219.53325567647235,2021,0.9588916814033556
132,513346.7384412367,819.7204508449398,258.49999940395355,247.87349907122345,2021,0.9588916814033556
133,526648.2921757463,883.1822947180171,259.0952633761157,248.4442927423683,2021,0.9588916814033556
134,541777.547256794,861.2125733989657,259.3999996781349,248.73650184739668,2021,0.9588916814033556
135,506211.50570204447,849.929699744839,254.7693735733024,244.29623299578412,2021,0.9588916814033556
136,476818.07608406,401.31949820586,281.1965091997452,269.6369935113006,2021,0.9588916814033556
137,508109.3844296643,850.1113092981152,232.70000192523003,223.1340961086479,2021,0.9588916814033556
139,437994.9218095309,918.8951772927262,256.5766683641572,246.0292329365779,2021,0.9588916814033556
141,496406.4663597428,808.9449003004645,233.1000012755394,223.5176521582263,2021,0.9588916814033556
142,532807.0859279409,900.4547611410651,232.70000192523003,223.1340961086479,2021,0.9588916814033556
143,514288.87599509966,949.7020796065574,232.70000192523003,223.1340961086479,2021,0.9588916814033556
144,507124.8401803432,847.8592169997276,248.40000024437904,238.18869389492656,2021,0.9588916814033556
145,494110.8824301865,891.1673106751941,248.40000024437904,238.18869389492656,2021,0.9588916814033556
146,487349.5685809632,733.4782175683797,228.863490200911,219.45529693059385,2021,0.9588916814033556
147,504131.0550247752,946.1549210990236,228.10542268207027,218.72839229283196,2021,0.9588916814033556
148,497001.1487527487,936.4563022094264,215.0,206.16171150172144,2021,0.9588916814033556
149,501864.7260291269,953.7206268434188,241.3354427274965,231.4145484591931,2021,0.9588916814033556
150,515270.5214739154,913.1597646514464,247.32232902574944,237.1553239280955,2021,0.9588916814033556
151,524710.1010275673,885.1542760626239,236.8000010848045,227.06555119652464,2021,0.9588916814033556
152,491598.5843324519,846.597506531301,227.00000056624413,217.66841222152848,2021,0.9588916814033556
153,496979.0707531118,855.8452939251823,227.00000056624413,217.66841222152848,2021,0.9588916814033556
154,498082.1922385982,809.2737685640864,233.1000012755394,223.5176521582263,2021,0.9588916814033556
155,483791.5951126535,897.7549896649656,227.00000056624413,217.66841222152848,2021,0.9588916814033556
156,488885.96798457066,702.8676318109488,227.00000056624413,217.66841222152848,2021,0.9588916814033556
157,504360.4301418428,782.5004397726061,256.0028492166039,245.47900252935997,2021,0.9588916814033556
158,475380.8064579826,829.8982635365478,215.0,206.16171150172144,2021,0.9588916814033556
159,500610.3310902529,890.9116710185592,229.00627013513204,219.5922074217897,2021,0.9588916814033556
160,503200.4435959074,968.6355585500606,233.1000012755394,223.5176521582263,2021,0.9588916814033556
161,498524.440162206,531.7506783467373,218.8961193336154,209.89766792047735,2021,0.9588916814033556
162,498863.5291880842,914.771010743806,227.58442853988265,218.2288153438305,2021,0.9588916814033556
163,523984.4590499961,948.1323894299362,228.13844319923183,218.7600553920535,2021,0.9588916814033556
164,490848.5500170222,820.3065725239258,248.40000024437904,238.18869389492656,2021,0.9588916814033556
165,552607.8486056615,697.8893854364926,227.00000056624413,217.66841222152848,2021,0.9588916814033556
166,527721.5285475359,942.2282083536568,227.00000056624413,217.66841222152848,2021,0.9588916814033556
167,499917.1715361769,794.2247678386962,262.19999942183495,251.42139830956216,2021,0.9588916814033556
168,505420.09856443474,757.8372564652752,262.19999942183495,251.42139830956216,2021,0.9588916814033556
169,499581.6233239942,984.9129866962908,248.40000024437904,238.18869389492656,2021,0.9588916814033556
170,504765.1580461589,841.1318909878426,260.29999801516533,249.599502766052,2021,0.9588916814033556
171,489245.8583760368,738.8486423584175,227.00000056624413,217.66841222152848,2021,0.9588916814033556
172,478912.4246301314,451.8951252945443,228.7823937235546,219.37753419306563,2021,0.9588916814033556
173,488503.4430901276,974.2747695212706,232.70000192523003,223.1340961086479,2021,0.9588916814033556
174,493310.26984947576,921.685781847177,232.70000192523003,223.1340961086479,2021,0.9588916814033556
175,475598.4635376476,750.8018543799773,258.49999940395355,247.87349907122345,2021,0.9588916814033556
176,488411.775224572,745.7257937738016,255.9181691457452,245.39780351383268,2021,0.9588916814033556
177,487855.1427942134,782.4481984727748,262.19999942183495,251.42139830956216,2021,0.9588916814033556
